text,likes,comments,shares
"Lionel Messi now has as many World Cup goals as Diego Maradona.

BBC.COM
Messi scores in vital Argentina win over Mexico in World Cup",26944,1100,697
"""Our thoughts are with their family, friends and the school community.""

BBC.COM
Fourth child dies with bacteria infection in UK",1701,539,635
"The first text message was sent on a phone weighing 2.1kg - roughly the same as 12 standard iPhone 14s.

BBC.COM
Text message celebrates its 30th birthday",5385,281,635
"They are only the second ever host to exit in the group stage.

BBC.COM
Qatar become first team to be knocked out of World Cup",12791,3600,605
"The driver managed to escape before the iconic red vehicle was engulfed in flames.

BBC.CO.UK
Coca-Cola Christmas truck in flames in Romania",2009,854,599
"Up to 800 fridges and freezers will be distributed to the charities to help them store more food.

BBC.COM
King Charles donates fridges and freezers to UK food banks",17678,2600,585
"鈥淲e rise together, back to the Moon and beyond.鈥?馃殌

This is the moment Nasa launched its Artemis Moon rocket from the Kennedy Space Centre in Florida, US.",3500,546,581
Protests have erupted in China as zero-Covid curbs sparked unrest in the city of Guangzhou.,2100,542,562
"""She's a very interesting person. We exchange stories and she's very good to talk to.""

BBC.COM
100-year-old pen pals have been chatting for over 80 years",6683,348,546
"Eight years ago, Sarah Sands stabbed a convicted paedophile to death. Her three sons have now spoken about her crime for the first time.

BBC.COM
鈥楳um killed our abuser'",19000,2000,539
"They've beaten a team ranked second in the world to secure their third ever World Cup win.

BBC.COM
Morocco cause latest World Cup shock with win over Belgium",15262,1100,506
"Banksy, the anonymous British artist, has released video footage of his artwork in Ukraine.
https://bbc.in/3u1HdJj",2800,150,505
"""There is something mind-boggling about it.""

BBC.COM
Twins born from embryos frozen 30 years ago",10000,1000,501
"The Glazer family, who bought the club in 2005, said they may sell as they ""explore strategic alternatives.""

BBC.COM
Manchester United owners say they may sell club",6500,917,462
"Would Michelle Obama hug King Charles III if she had the chance? 馃憫
The former US first lady has faced a quick-fire questions round.",5300,307,460
"""It celebrates the French way of life: the baguette is a daily ritual.""

BBC.COM
French baguette gets Unesco heritage status",5906,331,455
"Elnaz Rekabi broke Iran's mandatory dress code when competing in South Korea - but later said her headscarf had fallen off ""inadvertently"".

BBC.COM
Family home of Iranian climber demolished",2013,1400,445
"A murmuration happens when the birds all fly and change direction in unison, creating a dazzling display in the sky.

BBC.CO.UK
Starling murmuration captured on camera",5597,287,437
"""What shocks me is the change in blood flow to the brain and how much longer it takes me to complete a shape-sorting game.""

BBC.COM
What does an unheated room do to your body?",2300,692,436
"""America's golden age is just ahead.""

Donald Trump has announced he will run for US presidency in 2024 ""in order to make America great and glorious again"".",3400,1100,414
"Home to many high-profile clients, this US lab keeps dead bodies frozen in the hope they can be resuscitated in the future.

BBC.COM
Inside the lab working to bring people back from the dead",1845,1500,409
"""This is a game changer.""

BBC.COM
Nasa's Artemis spacecraft arrives at the Moon",5376,771,407
"""We're going to be sending people down to the surface and they're going to be living on that surface and doing science."" 馃寱

BBC.COM
Nasa expects humans to live on Moon this decade",7700,1800,407
"""We rise together, back to the moon and beyond.""

BBC.CO.UK
Nasa launches Artemis Moon rocket after two previous failed attempts",8000,712,406
"""We're always aware of who lived here before, it makes us feel very special.""

BBC.CO.UK
Sherlock Holmes author's rural retreat up for sale",5622,273,403
"""I wanted to show an example... without education, there will be no difference between you and a chicken.""

BBC.COM
'World's oldest primary school pupil' dies aged 99 in Kenya",7500,366,400
"Poland is raising the readiness of its military units, a government spokesperson said.

BBC.CO.UK
Polish government confirms explosion that killed two people",3700,1200,388
"An 85-year-old with a broken hip waited an ""agonising"" 14 hours for an ambulance to arrive and then 26 in the ambulance outside hospital.

BBC.COM
Forty-hour ambulance waits as England NHS delays worsen",1985,1700,388
"A mosaic unearthed in the latest dig could mean the estate is a hundred years older than previously thought.

BBC.COM
More Roman artefacts discovered beneath farmer's field",5526,197,383
"The star had her application to trademark the ""Queen of Christmas"" denied, after failed attempts for ""QOC"" and ""Princess Christmas"".

BBC.COM
Mariah Carey is officially not the 'Queen of Christmas'",9300,1400,376
"Pupils and staff at the school are being prescribed antibiotics.

BBC.COM
Child dies and another hospitalised after bacteria outbreak at UK primary school",2300,218,367
"""He arrived covered in oil and very frightened.""

BBC.COM
Kitten travels 250 miles under bonnet of lorry",3201,401,349
"King Charles is said to be opposed to the ""cruel"" food, which is made from the liver of a duck or goose.

BBC.COM
Foie gras banned at royal residences",15000,1500,345
"Rail workers will hold four 48-hour strikes in December and January, the RMT union has said.

BBC.COM
More UK train strikes announced by rail union",2300,1200,332
"""It's what we stand for as a team and have done for a long period of time.""

BBC.COM
England players will take the knee, says Gareth Southgate",11000,3900,331
"Protesters have taken to the streets across China. They are demanding an end to Covid lockdowns, and some have made rare calls for President Xi Jinping to stand down.

Here is a timeline of how the demonstrations unfolded.

Click here to find out how the protests are being silenced: https://bbc.in/3AOYBo3",983,249,329
"""It doesn't matter what your disability is, reading is accessible to everyone."" 馃摎

BBC.COM
Former Rugby League star with MND reads TV bedtime story",4719,237,322
"They are ranked second in the world and have failed to make the knockout stages.

BBC.COM
Belgium out of World Cup after draw with Croatia",6162,1300,314
"A former Wales captain said she was told to remove her hat which shows support for the LGBTQ+ community.

BBC.COM
Rainbow hats 'confiscated' at World Cup stadium in Qatar",6700,5600,312
"Lecanemab is the first drug to remove damage to the brain, but there are questions around its impact, side effects and use.

BBC.COM
Alzheimer's drug hailed as momentous breakthrough",1694,142,307
"Police have appealed for the baby's mother to get in touch and said she may need ""medical care or is in a vulnerable situation"".

BBC.COM
Newborn baby's body found at UK recycling centre",2351,1100,306
"""A 'one-size-fits-all policy' for water intake is not supported by this data.""

BBC.COM
Eight glasses of water a day may be too much, scientists say",2013,929,306
"The billionaire has been told he faces ""huge work ahead"" to bring Twitter into compliance with new rules by the European Union.

BBC.COM
EU warns Elon Musk of possible Twitter ban",3733,1800,305
"""These are shocking kind of stories.""

BBC.COM
People in UK 'eating pet food' over cost of living",977,1300,295
"The bank has blamed the rise of online banking for the decision.

BBC.COM
HSBC to close 114 UK branches",1588,744,294
"""I spent about 拢10,000 to get here and the tickets haven't been activated.""

Hundreds of fans missed the start of England's opening match against Iran at the World Cup because of an issue with Fifa's ticketing app.",1207,1000,292
"Fifa boss Gianni Infantino has accused West of hypocrisy, and said Europe should apologise for its own history, in defence of Qatar World Cup

BBC.COM
Infantino accuses West of 'hypocrisy' in speech",6700,3000,287
"The letter, written in 1547 by the most powerful ruler in Europe, revealed what he lived in fear of.

BBC.COM
Decoding an emperor's 500-year-old secret letter",2602,173,284
"""How do I feel? As happy as you like.""

BBC.COM
England's second oldest woman celebrates birthday",10103,1100,280
"The law would apply to both Indonesian citizens and foreigners alike if it is passed.

BBC.COM
Indonesia set to punish sex before marriage with jail time",2369,1900,278
"""Bison are considered ecosystem engineers.""

BBC.COM
Leonardo DiCaprio praises birth of first bison calf in UK for thousands of years",11652,516,277
"""What we have found is an emperor.""

BBC.COM
Gold coin proves 'fake' Roman emperor was real",2700,194,273
"It is the first time Mauna Loa has erupted since 1984.

BBC.COM
World's largest active volcano erupts in Hawaii",2074,199,268
"England, Wales and other European nations will not wear the armband, supporting LGBTQ rights, due to the threat of players being booked.

BBC.COM
England and Wales will not wear OneLove armbands at Qatar World Cup",2509,3200,263
Ukrainian soldiers took part in a joyful reunion with family after liberating Kherson.,2900,327,259
"The 82-year-old said she was confused as Alabama officers handcuffed her and took her into custody.

BBC.COM
Police arrest elderly US woman over unpaid $77 trash bill",1090,909,255
"Police used water cannon and tear gas to deal with unrest in the city following Morocco's 2-0 World Cup win over Belgium in Qatar.

BBC.COM
Clashes in Brussels after Morocco beat Belgium",2459,1900,254
"A spate of road accidents and near misses were captured in footage of this zebra crossing in Bradford, England.

A local man set up CCTV cameras to film the incidents because he feared someone will ""die on my doorstep"".

https://bbc.in/3Xt7xt0",1300,474,253
"A two-year-old boy's death was caused by mould in his UK home, a coroner has found.

BBC.COM
How dangerous is mould in the home?",2600,773,252
"""We have an opportunity to raise awareness.""

BBC.COM
Naked volunteers pose for artwork on Sydney's Bondi Beach",3361,1100,252
This drone footage shows the scale of deadly flooding in parts of Brazil.,486,81,251
"""This is one of the best days of my life. We have come back home.""

Tears of joy as the first train from Ukraine's capital, Kyiv, arrived in recently liberated Kherson.",3200,244,250
"""A unique series with a powerful connection with its fans across the world.""

BBC.COM
Neighbours set to return four months after finale",2900,637,249
"""There is no more fitting way to say goodbye to my British fans.""

BBC.COM
Elton John to headline Glastonbury",8871,958,248
"US police spoke of several deaths after a gunman opened fire in a supermarket on the east coast.

BBC.COM
Man kills up to 10 in Virginia Walmart store",2300,1000,246
"His flatmates had reported a ""spider infestation"" in their student accommodation, an inquest was told.

BBC.COM
Student died 'after suspected spider bite'",1430,744,238
"""Nice to see you again after such a long time. We got older but we're still the same.""

BBC.COM
Soldier reunited with girl he met during World War Two",6900,258,238
"""We are aware of this frivolous lawsuit and will strongly defend against the allegations in the complaint.""

BBC.COM
US woman sues mac and cheese maker over preparation time",1009,1000,236
"""We started Upside amid a world full of sceptics, and today, we've made history again.""

BBC.COM
Lab-grown chicken safe to eat, say US regulators",1400,743,236
"""Even the most sophisticated air defence systems will struggle to detect the B-21 in the sky"".

BBC.COM
US Air Force unveils new B-21 Raider nuclear stealth bomber",3461,1000,235
"There were 26 minutes of added time for England's first game of their Qatar campaign.

BBC.COM
England beat Iran in their opening World Cup 2022 match",10832,1300,235
"鈥淚f it isn鈥檛 working, change it, fix it, do it better.鈥?
Actress Kate Winslet has said more should be done to help families with the cost of living after she donated to a woman struggling with energy bills.",1307,161,228
"The Supreme Court has ruled that an independence referendum cannot be held without UK government's consent.

BBC.COM
Scotland cannot hold independence referendum without UK government consent, Supreme Court rules",1700,1800,226
"When Brian Cox and Brian Cox both arrived at the same hotel, the booking system wasn't able to cope...",1800,141,219
This is the moment Chinese police beat a BBC journalist and briefly arrested him while he was covering Covid lockdown protests in Shanghai.,323,276,210
"Russia's invasion of Ukraine has driven up energy costs for farmers and some ""can't afford to produce eggs any more,"" an industry group said.

BBC.COM
UK supermarkets limit egg sales after supply issues",2200,1200,207
"Thousands have been evacuated and homes are without power as Australia faces its fourth flooding this year.
https://bbc.in/3tywcPq",1000,96,207
"""Older people have paid their dues into society. They have worked hard. They need more respect than this.""

BBC.COM
Discharge of 81-year-old from UK hospital at midnight 鈥榰nacceptable鈥?say family",2894,1400,207
"""We should be going through wedding photos but instead I have to pick out clothes to bury my husband in.""

BBC.COM
US singer Jake Flint dies hours after wedding",2634,952,207
"Winding down with the real 'down dogs'.
Puppy yoga. 馃惥馃馃徑鈥嶁檧锔?What a treat! 馃槏
Find out more: https://www.bbc.co.uk/news/av/uk-england-manchester-63625957",1100,238,205
"More than six decades after finishing school, Ernie Puffett is studying alongside teenagers to complete his secondary education.

BBC.COM
84-year-old care home resident returns to school for physics GCSE",8000,256,205
"The rapper will pay $200,000 per month, while both parents will have custody of the children.

BBC.COM
Kanye West to pay Kim Kardashian child support as divorce settled",2748,1900,204
"He is the first veteran convicted of an historical offence in Northern Ireland.

BBC.COM
Former British soldier found guilty of manslaughter in Northern Ireland",2105,1300,203
"Nasa's space exploration programme that is designed to take humans back to the Moon would be impossible without the vital liquid. 馃挧

BBC.COM
The Ethiopian scientist looking for water on the Moon",4904,362,203
"""They have no fear of the police.""

BBC.COM
India police say rats ate 200kg of seized cannabis",2200,542,202
"""If we eat one night, we don't the next. After selling my kidney, I feel like I'm half a person. I feel hopeless.鈥?
BBC.COM
Afghan dad 'drugs hungry children to help them sleep'",3400,786,202
Millions of people in the UK are set to pay more in tax and on their energy bills. But the government has also announced increases in benefits and pensions. Find out what this all means with our correspondents Ione Wells and Colletta Smith.,1900,1200,201
"""I think so many people have realised how beneficial it is, and how much we need this form of stress relief.""

BBC.COM
The weird and wonderful world of ASMR",2900,789,201
Hundreds of anti-government protesters have taken to the streets in Peru and clashed with police as they demand the resignation of President Pedro Castillo.,663,112,199
"It comes after Elon Musk called on staff to sign up for ""long hours at high intensity"" or leave.

BBC.COM
Twitter locks staff out of offices until next week",3400,1300,199
"England player Eric Dier has said fans should be able to enjoy the World Cup without alcohol, after Fifa issued a last-minute ban.

BBC.COM
'Don't need alcohol to create a great atmosphere'",8900,2300,197
"""I was going through something that night... I just lost it.""

BBC.COM
Will Smith says 'bottled' rage led him to slap Chris Rock at the Oscars",9411,3000,196
"""No one sees what's happening behind closed doors.""

BBC.COM
First glimpse of Prince Harry and Meghan's documentary released",6715,3400,196
"The Thor star discovered he has a heightened risk of the disease after undergoing tests as part of his documentary series Limitless.

BBC.COM
Chris Hemsworth pauses career over Alzheimer's risk",2556,374,194
At least 162 people have died and hundreds are injured following an earthquake on the Indonesian island of Java.,1100,60,193
"The ""Killing Me Softly with His Song"" performer is also having difficulty speaking, her manager said.

BBC.COM
Roberta Flack is unable to sing after ALS diagnosis",5700,343,191
"""In order to make America great and glorious again, tonight I am announcing my candidacy for the president of the United States,"" Mr Trump said.

BBC.CO.UK
Donald Trump announces 2024 US presidential run",3300,1300,189
"""We are doing a very bad job in regulating the chemicals that we use.""

BBC.CO.UK
Sperm counts around the world declining at 'alarming rate'",905,959,187
Rescue efforts are continuing after a deadly mudslide swept across the Italian island of Ischia.,557,94,186
"""5G was promised to be incredibly fast... if anything, it's worse than what we had already.""

BBC.COM
'5G makes my phone pretty worthless'",3543,792,186
"The result leaves them with a chance of qualifying for the knockout stages.

BBC.COM
Germany keeps World Cup hopes alive after draw with Spain",8182,576,185
"A 15-year-old schoolboy explains how he exposed a much-repeated ""fact"" as a Wikipedia hoax.

BBC.COM
How the great online toaster hoax was exposed",1400,148,185
"England missed the chance to seal qualification for the World Cup knockout stage.

BBC.COM
England draw against USA in goalless World Cup match",3810,2000,185
"""Let's give strikers the compliment for getting smarter.""

BBC.COM
Cristiano Ronaldo a 'total genius' for winning Portugal penalty at World Cup, says Fifa",7363,1600,184
"The show turns 25 this year, but talk of wibbly-wobbly bottoms and Tubby Toast wasn't without controversy.

BBC.COM
How bizarre kids' TV show Teletubbies swept the world",1500,316,184
Chinese police have made people delete pictures from their phones where large Covid protests have taken place in Shanghai.,300,260,183
"""There's probably no other YouTuber in the world who understands [compelling content] as well as MrBeast.""

BBC.COM
MrBeast overtakes PewDiePie as most-subscribed YouTuber",7200,600,181
"A gunman opened fire inside a gay club in Colorado Springs, killing five people and injuring 18.

BBC.COM
Five dead after shooting at nightclub in US state Colorado",1400,973,181
"What is causing egg supply issues?

BBC.CO.UK
Why are eggs being rationed in UK supermarkets?",1944,1300,177
"Iran's football manager Carlos Queiroz confronted BBC correspondent Shaimaa Khalil.

It followed her question to footballer Mehdi Taremi for his views on the anti-government protests in Iran.",1400,733,175
"A Dutch trial has found that a missile supplied by Russia killed 298 people on board flight MH17 in 2014.

BBC.COM
Three men guilty of murder for shooting down plane over Ukraine",2700,637,174
Nurses are to take part in the biggest strike in the NHS's history but how much do you know about their pay?,656,737,174
"He also claimed to have asked a former president to be his running mate.

BBC.COM
Kanye West announces presidential bid for 2024",637,720,172
"Stuart Andrew, who is gay, opted to wear the armband to promote diversity and inclusion from the stands.

BBC.COM
UK sports minister wears OneLove armband at World Cup match",4412,3100,170
"""I'm heartbroken that I won't be able to be with my dad in his last moments.""

BBC.COM
Daughter barred from watching execution of father",3752,2600,169
"鈥淚 faced a lot of difficulties鈥?the heat, the sun, sand dunes and wild animals.鈥?
Abdullah al-Salmi walked 1,600km from his hometown Jeddah in Saudi Arabia, all the way to Doha for the Qatar World Cup.",1200,170,169
"""At war, you don't get accidentally killed. You accidentally survive.""

The people facing a harsh winter on the front line of the war in Ukraine.",364,314,166
"The census also showed an increase in the number of people with no religion in the two countries.

BBC.COM
Less than half of England and Wales population Christian, Census 2021 shows",1381,2100,166
"The virus appeared to last longer on produce with uneven surfaces such as broccoli and raspberries, scientists found.

BBC.COM
Covid virus can stay on some groceries for days",854,833,165
"There is no sign that the missile that hit a village was an intentional attack on Poland, President Andrzej Duda has said.

BBC.CO.UK
Missile which hit Poland likely to be from Ukrainian air defence, says Polish president",1500,1100,163
"As the global population reaches eight billion people, how long is left until we reach 10 billion, and what happens then?",519,246,163
"The boy has survived being bitten, constricted and dragged into a swimming pool by a python about three times his size.

BBC.COM
Five-year-old rescued from python by dad and grandad",2700,544,163
"""Because two women meet is not simply because of their gender.""

The leaders of New Zealand and Finland have shot down a journalist's claim that they arranged a meeting because they are ""similar in age"".",726,378,162
"The national team remained silent in an apparent expression of support of anti-government protests in their homeland.

BBC.COM
Iran football players decline to sing national anthem",3973,575,162
What has and hasn鈥檛 been banned at the World Cup in Qatar?,2200,1300,161
"Four monks, including the abbot, tested positive, an official said.

BBC.COM
Thai monks fail drug tests leaving temple empty",890,173,160
"It is the first time Wales has played a World Cup game in 64 years.

BBC.COM
Wales draw with USA in World Cup 2022 opener",8841,678,160
"""Racism has no place in our society.""

BBC.COM
Prince William responds to godmother's 'unacceptable' comments",1662,2300,159
"It will be the first time a cast of the 70-tonne Patagotitan has been shown in Europe.

BBC.COM
Colossal dinosaur heading for UK display",3868,384,158
"Demonstrations have intensified after lockdown rules were blamed for the deaths of 10 people in a tower block fire.

BBC.COM
Protesters call for China's President Xi to resign over Covid measures",1562,363,158
"British rugby player Levi Davis was last seen outside a bar in Barcelona and has been missing for over a month.

BBC.COM
Mum describes 'emotional whirlwind' after son disappears in Spain",942,265,152
"""Hector is truly a hero in every sense of the word.""

BBC.COM
Baby given one day to live reaches first birthday",16000,595,151
"He wore a t-shirt with 'Save Ukraine' on the front and 'Respect for Iranian woman' on the back.

BBC.COM
Protester carrying rainbow flag invades pitch at World Cup",4594,2100,149
"The billionaire, who is the world's richest man, sent the ultimatum to staff in an email, according to reports.

BBC.COM
Elon Musk tells Twitter staff to work long hours or leave",3000,1400,147
"The 1975 film was described by critics as a ""masterpiece"" and the ""essential text"" in feminist cinema.

BBC.COM
Film directed by woman chosen as greatest of all time",3770,754,146
Naked volunteers have posed on Sydney's Bondi Beach for an artwork designed to raise awareness of skin cancer.,689,184,145
"As the men's football World Cup heats up in Qatar, a very different contest is also taking place in the country 鈥?a ""camel beauty World Cup"". 馃惈",673,158,145
Fresh protests against Covid restrictions have taken place in a Chinese city after a deadly fire at an apartment block.,490,166,145
"Social media images showed crowds cheering as fire engulfed the Islamic Republic founder's ancestral home.

BBC.COM
Iranian protesters set fire to Ayatollah Khomeini's house",2800,526,145
"""Covid bereaved say get out of here!""

BBC.COM
Banner flown over I'm A Celebrity jungle with message for Matt Hancock",2400,1100,141
"The ""bin chicken"" may have figured out a way to overhaul its bad reputation - by eating one of the only animals locals hate more.

BBC.COM
How Australia's hated bird learnt to wash toxic toads",1600,133,141
"The meteor shower clip was said to have featured ""intimate content"", shared without the consent of the participant.

BBC.COM
Astronomer mistakenly banned from Twitter over 'intimate' meteor",3200,362,140
"The Latam Airlines plane collided with a fire truck in the country's capital, Lima.

BBC.COM
Two firefighters dead as plane crashes during take-off at Peru airport",3100,177,140
"Christian Pulisic scored the winner against Iran to send the USA through to face the Netherlands in the World Cup last 16.

BBC.COM
Iran out of World Cup while USA through to knockout stage",5792,518,140
"""If you want to celebrate the football, you have to pay attention to the fouls.""

BBC.COM
Fouling Neymar at World Cup has to stop, say Brazil",6195,1000,139
"Widespread strikes have been reported across Ukraine including in the capital Kyiv.

BBC.COM
Power cuts in Ukraine and Moldova as missiles hit",2300,1000,138
"The tremor hit the main island of Java and could be felt in the capital Jakarta, where offices were evacuated.

BBC.COM
Indonesia quake kills at least 40 and injures hundreds",963,135,138
"鈥淚 just love how it moves.鈥?馃寠

Meet the 10-year-old surfer with no hands or feet.

Jade Edward is set to represent Scotland in the World Para Surfing Championship in California.

(Via BBC Scotland News)

Find out more about how surfing has changed Jade鈥檚 life: https://bbc.in/3V20Nkp",1800,135,134
"鈥淚t was absolutely insane.鈥?
This is the moment a young fan had the experience of a lifetime after meeting Prince William and Kate during their trip to the US city of Boston.",1395,189,134
"Camilla, the Queen Consort, delivers Paddington Bears which were left in tribute to Queen Elizabeth II to nursery children.

https://bbc.in/3EA1A57",1427,174,133
"""Space is for everyone."" 馃懆鈥嶐煔�

BBC.CO.UK
British Paralympian announced as world's first disabled astronaut",2800,140,132
"""I just think Ronaldo's got to go as soon as possible.""

BBC.COM
Cristiano Ronaldo has 'ruined his legacy' say Manchester United fans",5961,1200,132
"Protests have erupted in the city of Guangzhou in response to the country's strict zero-Covid policy.

BBC.CO.UK
Police car overturned in China as Covid lockdown protests turn violent",2200,300,131
"The Hollywood star said he is looking for a room in the city for him and his mum to share.

BBC.COM
Actor Will Ferrell asks for spare room in Liverpool for Eurovision",5200,575,130
"""That is not appropriate,"" the Chinese leader told his Canadian counterpart.

BBC.COM
Footage shows Xi Jinping accuse Justin Trudeau of leaks in awkward exchange",1500,454,129
"""We are eager to consider the message we wish to convey about place names, and the role they have to play in our current cultural heritage.""

BBC.COM
Wales' highest mountain Snowdon changes official name",1800,927,129
"鈥淚 hereby pardon Chocolate and Chip.鈥?馃

As part of a Thanksgiving tradition US President Joe Biden pardoned two turkeys.",753,177,129
"""It's overwhelming. But at the same time, it's the most wonderful feeling in the world.""

BBC.COM
Missing daughter reunited with family after 51 years",3332,194,127
"Prices rose 11.1% in the year to October as energy bills drive UK inflation rate to a 41-year high.

BBC.COM
Energy bills drive UK inflation to 41-year high",1200,513,127
"The UK economy is set to shrink further next year, according to independent forecasters.

BBC.CO.UK
UK already in recession say forecasters",1400,810,126
"The record-breaking 180-day journey involved sickness, visa issues, and a crash with a moped.

BBC.COM
Couple cycle around the world on tandem bike",2945,190,124
"""I must be brutally honest with you.""

BBC.COM
Europe would be in trouble without US, says Finland PM",2948,1200,124
"It was Wales' first match in a World Cup for 64 years.

BBC.COM
Wales beat England in World Cup opener UK TV ratings",7300,747,122
"""Do you want to try some Welsh, Ryan?""

BBC.CO.UK
Ryan Reynolds speaks Welsh during awards ceremony",4800,217,120
"The former host of The Tonight Show is recovering after suffering burns to his face and hands.

BBC.COM
US comedian Jay Leno 'seriously burned' in car fire",3400,341,120
"A disqualified and uninsured driver who killed a care worker while driving drunk has been jailed for nine years.

BBC.COM
Driver jailed again after causing second road death",2500,851,119
"The 62-year-old was in Doha with his son and friends.

BBC.COM
Wales supporter dies on World Cup trip in Qatar",2872,600,119
"A plane crashed into high-voltage power lines in Maryland, US, causing mass power outages in the area.",412,84,119
"""Metro."" ""This way."" 馃憠

BBC.CO.UK
The viral 'metro man' directing World Cup fans in Qatar",3127,163,118
"In 1833, the Leonid meteor storm reported a peak of 100,000 shooting stars per hour.

BBC.COM
How to catch meteor shower set to light up night sky",2900,100,117
"""I really haven't got a great deal of interest [in this World Cup].""

BBC.COM
Football fan boycotts first World Cup in 32 years",6200,1600,117
"鈥淲e are gutted, there is no other way to say it,"" said Wales captain Gareth Bale.

BBC.COM
Wales lose crucial World Cup game against Iran in injury time",5615,1000,116
"Cadbury's has had to swap out the chocolate from some boxes ahead of Christmas.

BBC.COM
Why Twirls are being substituted in some Heroes boxes",2800,559,115
"The two-year-old died from a respiratory condition caused by exposure to mould in his home in Manchester, UK

BBC.COM
Housing boss sacked after Awaab Ishak's mould death",2700,475,115
"Ed Lawrence was beaten and arrested by Shanghai police while filming anti-government rallies.

BBC.COM
BBC journalist detained by police during China's Covid protests",910,512,114
